RATE,TYPE,LOCATIONID,TS
2160,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:28.342"
1800,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:41.552"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:41.552"
2160,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:41.552"
1800,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:55.110"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:55.111"
2160,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:55.111"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:07.499"
540,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:07.499"
3000,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:07.499"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:19.717"
540,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:19.717"
3000,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:19.717"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:32.622"
540,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:32.622"
3000,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:32.622"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:45.019"
540,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:45.019"
3000,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:45.019"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:57.466"
540,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:57.466"
3000,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:10:57.466"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:09.650"
540,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:09.650"
3000,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:09.650"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:22.824"
540,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:22.824"
3000,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:22.824"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:35.240"
540,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:35.240"
3000,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:35.240"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:47.223"
540,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:47.223"
3000,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:47.224"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:59.401"
540,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:59.401"
3000,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:11:59.401"
2100,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:12:13.219"
